This file was created by CMPT_VAR_RETS using the 201712 CRSP database.,,,,,,,,,,,,,,,
It contains value- and equal-weighted returns for portfolios formed on VAR.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The portfolios are constructed at the end of each month.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  ,,,,,,,,,,,,,,,
Annual returns are from January to December.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The break points include utilities and include financials.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  Value Weighted Returns -- Monthly,,,,,,,,,,,,,,,
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,0.49,-1.41,-0.6,-0.36,-1.27,0.34,1.07,-1.27,-1.6,-0.08,-1.44,0.95,-2.37,-1.07,-1.45
196308,4.68,6.47,5.63,6.58,7.67,4.27,6.23,6.23,6.76,5.82,5.25,6.32,7.02,10.05,5.22
196309,-0.76,-1.82,-2.07,-2.34,-2.37,-0.32,-2.25,-2,-1.54,-1.38,-2.79,-3.59,-0.3,-2.53,-2.2
196310,3.2,2.29,1.83,2.74,2.74,4.11,0.87,1.87,2.76,1.69,1.99,1.97,3.9,4.33,1.38
196311,-0.35,-1.17,-0.28,-0.96,-1.21,-0.08,-0.85,-0.72,-1.72,-0.86,0.4,-0.38,-1.62,-0.04,-2.22
196312,2.94,1.29,1.5,1.67,-0.24,1.51,4.61,1.37,1.18,1.79,1.21,1.96,1.22,-0.36,-0.14
196401,3.39,1.72,1.88,2.78,-0.99,3.7,2.94,0.9,2.34,1.47,2.43,1.63,3.97,-0.39,-1.45
196402,1.29,2,1.87,5.25,1.88,1.1,1.8,1.49,2.82,2.15,1.44,5.69,4.51,2.45,1.46
196403,1.16,2.45,2.46,2.92,1.69,0.84,1.68,2.89,1.46,2.72,2.06,3.24,2.55,2.16,1.38
196404,1.33,-0.44,-0.28,-2.44,-1.27,1.4,1.16,-0.97,0.62,-0.09,-0.51,-1.68,-3.8,-3.28,0.67
196405,1.72,1.23,1.16,1.51,3.99,1.91,1.06,0.73,1.96,1.5,0.66,1.59,1.4,5.96,1.71
196406,1.6,1.92,1.84,1.56,-0.48,1.8,1.14,1.91,1.93,2.21,1.24,1.52,1.61,0.51,-1.69
196407,1.99,3.09,1.27,2.29,-0.07,1.62,3.08,2.69,3.51,2.17,0.39,1.9,2.69,-1.21,1.46
196408,-1.24,-1.05,-0.52,-0.95,-1.91,-1.36,-0.83,-1.41,-0.4,-0.17,-0.93,-0.28,-1.94,-2.5,-1.18
196409,2.55,2.18,3.85,5.55,6.11,2.58,2.43,1.69,2.68,3.14,4.59,5.7,5.31,6.77,5.17
196410,0.66,1.46,1.12,1.92,-1.22,0.92,-0.17,1.65,1.23,1.25,1,2.3,1.39,-1.73,-0.57
196411,0.49,-0.01,0.77,0.63,-2.93,0.45,0.59,0.01,-0.03,0.96,0.55,2.25,-1.36,-3.14,-2.66
196412,0.77,-0.22,0.22,-0.51,-0.66,1.04,-0.07,-0.01,-0.61,-0.4,0.86,-0.89,0.01,0.23,-1.79
196501,3.08,4.68,4.94,3.95,7.46,1.99,5.69,4.52,4.96,4.58,5.5,3.11,5.65,4.96,9.91
196502,-0.53,1.76,2.3,3.23,4.74,-0.84,0.32,1.4,2.48,2.47,2.1,3.37,3.01,5.12,4.33
196503,-1.18,-0.97,-0.67,-0.8,0.62,-1.41,-0.41,-0.81,-1.21,-0.71,-0.62,-0.53,-1.14,0.93,0.36
196504,3.29,2.56,4.01,5.69,3.18,3.78,1.56,1.84,3.79,3.44,4.66,5.85,5.48,2.96,3.43
196505,-0.5,0.18,-0.11,-1.42,-1.4,-0.34,-0.93,0.6,-0.2,-0.12,-0.09,-0.91,-2.23,-0.26,-2.35
196506,-4.12,-4.79,-6.53,-8.4,-11.17,-4.06,-4.28,-4.07,-6.16,-6.6,-6.46,-8.14,-8.76,-9.17,-12.9
196507,1.54,1.09,1.77,2.9,5.64,1.59,1.44,0.73,1.92,0.88,2.93,3.5,1.99,7.87,3.36
196508,2.14,3.18,4.69,6.04,7.39,1.63,3.29,3.05,3.36,4.75,4.63,6.52,5.27,7.88,6.79
196509,2.94,2.83,4.02,4.12,4.34,3.22,1.99,2.45,3.29,4.08,3.97,3.94,4.3,5.14,3.42
196510,1.57,2.81,5.33,5.78,7.52,1.56,1.61,2.43,3.31,4.99,5.73,5.51,6.19,6.89,8.39
196511,-1.43,0.02,3.16,4.8,6.69,-2.13,0.65,-0.63,0.88,2.73,3.96,3.11,6.8,3.41,10.52
196512,0.13,2.14,2.56,4.61,3.74,-0.49,1.49,2.94,1.21,2.38,2.75,4.07,5.17,3.46,4.06
196601,-0.78,1.62,3.66,6.22,5.56,-1.16,0.18,1.74,1.47,2.99,4.39,6.94,5.23,4.47,7.08
196602,-2.17,-2.12,1.71,2.52,5.56,-2.78,-0.87,-2.33,-1.8,1.65,1.8,1.38,3.73,4.84,6.34
